text,created_at,source,geo,profile_location,profile_name,profile_description,sentiment
"RT @YourGirlNeha: After hearing the #AnilAmbani verdict by Supreme Court in #Ericsson case, loan defaulter @TheVijayMallya lawyer  also filâ€¦",Wed Feb 20 08:57:29 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Still in Universe ,ANJANAK.......Mission Make India Democracy Again,#AsYouNotWishðŸŒ¹ðŸŒ¹,Positive
#Rcom Chairman #AnilAmbani found guilty by #SC in #Ericsson default case: 5 things to know https://t.co/rmeZhhvIdA,Wed Feb 20 08:57:45 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,India,Zee Business,ZEE BUSINESS is India’s 1st 24-hour Hindi business channel. It is your channel to profit and wealth.,Negative
RT @INCIndia: #AnilAmbani has been found guilty of contempt by the Supreme Court for failing to pay @ericsson their dues. Now the question…,Wed Feb 20 08:57:55 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Pune,Pune Congress,The Official Twitter Account Of INC Pune.,Negative
We all know how he's going to raise money to pay his debts. He's gonna AGAIN sue @newslaundry or @thewire_in or… https://t.co/sH6oauK8YE,Wed Feb 20 08:58:08 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,"Delhi, India",Priyanka Sachar,"Things get magical at the time of twilight. Wedding & Boudoir Photographer, Ex-SM consultant, Traveler, Gastronaut, Erstwhile telecom s/w person, Blogger, Geek",Negative
